,회사명,ROA,PER
0,3S,0.0,-11.87
1,AJ네트웍스,3.43,25.15
2,AJ렌터카,3.39,24.85
3,AK홀딩스,11.36,11.49
4,AP시스템,11.92,14.63
5,AP위성,-4.76,21.65
6,BNK금융지주,0.87,6.48
7,BYC,0.99,13.72
8,C&S자산관리,0.61,-0.65
9,CJ,5.9,12.23
10,CJ CGV,5.58,2304.04
11,CJ E&M,0.47,7.77
12,CJ대한통운,4.61,69.15
13,CJ씨푸드,4.71,24.83
14,CJ오쇼핑,6.81,55.15
15,CJ제일제당,6.53,13.44
16,CJ프레시웨이,4.24,-36.4
17,CMG제약,4.1,278.6
18,CNH,4.42,27.07
19,CS,-5.77,18.66
20,CSA 코스믹,4.74,-11.72
21,CS홀딩스,5.75,13.65
22,DGB금융지주,0.71,6.69
23,DMS,14.34,5.82
24,DRB동일,4.66,6.66
25,DSC인베스트먼트,21.8,41.28
26,DSR,6.81,7.65
27,DSR제강,3.53,11.39
28,E1,-3.31,52.16
29,EG,0.33,252.29
30,EMW,6.78,-282.19
31,F&F,8.44,13.24
32,GH신소재,6.73,21.78
33,GKL,21.31,19.08
34,GMR 머티리얼즈,-2.48,-10.41
35,GRT,0.0,4.75
36,GS,8.28,6.36
37,GST,10.08,5.98
38,GS건설,1.18,-24.54
39,GS글로벌,2.52,15.09
40,GS리테일,6.87,13.21
41,GS홈쇼핑,7.04,14.1
42,HB테크놀러지,30.6,6.45
43,HRS,2.9,11.91
44,IBKS제3호스팩,-1.08,-338.33
45,IBKS제5호스팩,0.0,409.09
46,IHQ,5.79,43.17
47,iMBC,4.7,-69.74
48,ISC,4.81,13.62
49,ITX엠투엠,-19.99,-5.91
50,JB금융지주,0.7,5.76
51,JW생명과학,12.01,27.72
52,JW신약,3.83,-102.95
53,JW중외제약,2.8,70.73
54,JW홀딩스,3.58,-96.16
55,JYP Ent.,17.81,47.46
56,KB금융,0.83,8.77
57,KB오토시스,10.92,4.7
58,KCC,4.4,29.06
59,KCC건설,3.08,6.47
60,KCI,10.52,17.65
61,KCTC,3.13,12.88
62,KC그린홀딩스,4.46,35.34
63,KC코트렐,4.53,19.73
64,KD건설,2.9,-5.97
65,KEC,1.97,34.98
66,KG ETS,4.46,23.19
67,KGP,-7.46,-1.74
68,KG모빌리언스,7.29,20.42
69,KG이니시스,6.29,120.85
70,KG케미칼,5.47,42.97
71,KH바텍,-2.48,-7.48
72,KISCO홀딩스,3.6,5.72
73,KJ프리텍,-7.17,11.34
74,KMH,7.41,12.5
75,KMH하이텍,4.29,31.0
76,KNN,-1.09,12.19
77,KPX그린케미칼,2.79,31.38
78,KPX생명과학,9.18,17.5
79,KPX케미칼,7.37,13.14
80,KPX홀딩스,4.45,12.74
81,KR모터스,2.04,-3.76
82,KSS해운,5.36,6.86
83,KT,5.47,11.39
84,KT&G,19.52,12.18
85,KTB투자증권,0.25,8.35
86,KTcs,1.36,11.77
87,KTH,3.14,56.9
88,KT서브마린,0.83,12.79
89,LF,1.3,13.29
90,LG,7.07,7.19
91,LG디스플레이,5.6,4.54
92,LG상사,1.67,15.06
93,LG생활건강,22.02,31.03
94,LG유플러스,7.08,12.37
95,LG이노텍,2.08,17.14
96,LG전자,3.04,13.08
