"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190130 ~ 20190228"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"서울특별시 강남구 개포동","141","0141","0000","개포주공 1단지","50.64","201902","1~10","162,000","2","1982","개포로"
"서울특별시 강남구 개포동","187","0187","0000","개포주공 5단지","74.25","201902","11~20","153,500","1","1983","삼성로4길"
"서울특별시 강남구 개포동","185","0185","0000","개포주공 6단지","60.13","201902","11~20","130,000","5","1983","개포로"
"서울특별시 강남구 개포동","185","0185","0000","개포주공 7단지","60.76","201902","11~20","130,500","9","1983","개포로"
"서울특별시 강남구 개포동","185","0185","0000","개포주공 7단지","53.46","201902","21~28","114,000","14","1983","개포로"
"서울특별시 강남구 논현동","276-1","0276","0001","아크로힐스논현","84.208","201902","11~20","158,000","2","2014","언주로"
"서울특별시 강남구 논현동","276-1","0276","0001","아크로힐스논현","84.074","201902","21~28","150,000","4","2014","언주로"
"서울특별시 강남구 대치동","888","0888","0000","대치아이파크","149.78","201902","21~28","257,000","5","2008","선릉로"
"서울특별시 강남구 대치동","670","0670","0000","동부센트레빌","121.74","201901","21~31","256,000","16","2005","선릉로"
"서울특별시 강남구 대치동","670","0670","0000","동부센트레빌","161.47","201902","11~20","310,000","22","2005","선릉로"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","201901","21~31","151,200","4","1979","삼성로"
"서울특별시 강남구 대치동","316","0316","0000","은마","84.43","201902","11~20","169,000","8","1979","삼성로"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","201902","11~20","156,000","8","1979","삼성로"
"서울특별시 강남구 대치동","316","0316","0000","은마","84.43","201902","21~28","166,000","5","1979","삼성로"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","201902","21~28","148,000","4","1979","삼성로"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","201902","21~28","154,000","5","1979","삼성로"
"서울특별시 강남구 대치동","902","0902","0000","포스코더샵","164.88","201902","21~28","240,000","21","2004","삼성로"
"서울특별시 강남구 대치동","511","0511","0000","한보미도맨션2","126.33","201902","21~28","228,000","10","1985","삼성로"
"서울특별시 강남구 도곡동","952","0952","0000","대우디오빌","25.89","201902","11~20","25,500","13","2004","강남대로"
"서울특별시 강남구 도곡동","467","0467","0000","타워팰리스1","121.42","201902","21~28","190,000","42","2002","언주로30길"
"서울특별시 강남구 도곡동","467-17","0467","0017","타워팰리스2","195.83","201902","11~20","270,000","35","2003","언주로30길"
"서울특별시 강남구 도곡동","895-8","0895","0008","한신엠비씨","84.74","201902","1~10","117,000","5","1988","논현로"
"서울특별시 강남구 삼성동","142-3","0142","0003","LG선릉에클라트(B)","36.35","201902","11~20","39,000","9","2004","테헤란로63길"
"서울특별시 강남구 삼성동","11","0011","0000","롯데캐슬프레미어","121.931","201902","21~28","221,000","6","2007","선릉로126길"
"서울특별시 강남구 삼성동","101","0101","0000","삼성동에스케이뷰","84.52","201902","21~28","139,000","5","2005","봉은사로109길"
"서울특별시 강남구 삼성동","16-2","0016","0002","삼성동힐스테이트 1단지","84.236","201902","11~20","203,000","7","2008","학동로68길"
