,no,str
1,1,"동행복권 1회 당첨번호 10,23,29,33,37,40+16. 1등 총 0명, 1인당 당첨금액 0원."
2,2,"동행복권 2회 당첨번호 9,13,21,25,32,42+2. 1등 총 1명, 1인당 당첨금액 2,002,006,800원."
3,3,"동행복권 3회 당첨번호 11,16,19,21,27,31+30. 1등 총 1명, 1인당 당첨금액 2,000,000,000원."
4,4,"동행복권 4회 당첨번호 14,27,30,31,40,42+2. 1등 총 0명, 1인당 당첨금액 0원."
5,5,"동행복권 5회 당첨번호 16,24,29,40,41,42+3. 1등 총 0명, 1인당 당첨금액 0원."
6,6,"동행복권 6회 당첨번호 14,15,26,27,40,42+34. 1등 총 1명, 1인당 당첨금액 6,574,451,700원."
7,7,"동행복권 7회 당첨번호 2,9,16,25,26,40+42. 1등 총 0명, 1인당 당첨금액 0원."
8,8,"동행복권 8회 당첨번호 8,19,25,34,37,39+9. 1등 총 0명, 1인당 당첨금액 0원."
9,9,"동행복권 9회 당첨번호 2,4,16,17,36,39+14. 1등 총 0명, 1인당 당첨금액 0원."
10,10,"동행복권 10회 당첨번호 9,25,30,33,41,44+6. 1등 총 13명, 1인당 당첨금액 6,430,437,900원."
11,11,"동행복권 11회 당첨번호 1,7,36,37,41,42+14. 1등 총 5명, 1인당 당첨금액 4,780,152,300원."
12,12,"동행복권 12회 당첨번호 2,11,21,25,39,45+44. 1등 총 12명, 1인당 당첨금액 1,348,845,700원."
13,13,"동행복권 13회 당첨번호 22,23,25,37,38,42+26. 1등 총 0명, 1인당 당첨금액 0원."
14,14,"동행복권 14회 당첨번호 2,6,12,31,33,40+15. 1등 총 4명, 1인당 당첨금액 9,375,048,300원."
15,15,"동행복권 15회 당첨번호 3,4,16,30,31,37+13. 1등 총 1명, 1인당 당첨금액 17,014,245,000원."
16,16,"동행복권 16회 당첨번호 6,7,24,37,38,40+33. 1등 총 4명, 1인당 당첨금액 4,377,146,100원."
17,17,"동행복권 17회 당첨번호 3,4,9,17,32,37+1. 1등 총 3명, 1인당 당첨금액 5,349,491,200원."
18,18,"동행복권 18회 당첨번호 3,12,13,19,32,35+29. 1등 총 0명, 1인당 당첨금액 0원."
19,19,"동행복권 19회 당첨번호 6,30,38,39,40,43+26. 1등 총 1명, 1인당 당첨금액 40,722,959,400원."
20,20,"동행복권 20회 당첨번호 10,14,18,20,23,30+41. 1등 총 1명, 1인당 당첨금액 19,352,212,800원."
21,21,"동행복권 21회 당첨번호 6,12,17,18,31,32+21. 1등 총 23명, 1인당 당첨금액 797,475,400원."
22,22,"동행복권 22회 당첨번호 4,5,6,8,17,39+25. 1등 총 4명, 1인당 당첨금액 4,552,194,900원."
23,23,"동행복권 23회 당첨번호 5,13,17,18,33,42+44. 1등 총 4명, 1인당 당첨금액 4,317,947,700원."
24,24,"동행복권 24회 당첨번호 7,8,27,29,36,43+6. 1등 총 0명, 1인당 당첨금액 0원."
25,25,"동행복권 25회 당첨번호 2,4,21,26,43,44+16. 1등 총 2명, 1인당 당첨금액 24,227,745,300원."
26,26,"동행복권 26회 당첨번호 4,5,7,18,20,25+31. 1등 총 5명, 1인당 당첨금액 3,495,069,900원."
27,27,"동행복권 27회 당첨번호 1,20,26,28,37,43+27. 1등 총 2명, 1인당 당첨금액 9,543,982,500원."
28,28,"동행복권 28회 당첨번호 9,18,23,25,35,37+1. 1등 총 10명, 1인당 당첨금액 1,700,361,100원."
29,29,"동행복권 29회 당첨번호 1,5,13,34,39,40+11. 1등 총 5명, 1인당 당첨금액 3,552,594,000원."
30,30,"동행복권 30회 당첨번호 8,17,20,35,36,44+4. 1등 총 2명, 1인당 당첨금액 8,728,555,500원."
31,31,"동행복권 31회 당첨번호 7,9,18,23,28,35+32. 1등 총 2명, 1인당 당첨금액 8,106,672,900원."
32,32,"동행복권 32회 당첨번호 6,14,19,25,34,44+11. 1등 총 10명, 1인당 당첨금액 1,634,528,300원."
33,33,"동행복권 33회 당첨번호 4,7,32,33,40,41+9. 1등 총 1명, 1인당 당첨금액 14,903,517,600원."
34,34,"동행복권 34회 당첨번호 9,26,35,37,40,42+2. 1등 총 5명, 1인당 당첨금액 3,056,918,000원."
35,35,"동행복권 35회 당첨번호 2,3,11,26,37,43+39. 1등 총 3명, 1인당 당첨금액 5,054,598,200원."
36,36,"동행복권 36회 당첨번호 1,10,23,26,28,40+31. 1등 총 1명, 1인당 당첨금액 16,014,475,800원."
37,37,"동행복권 37회 당첨번호 7,27,30,33,35,37+42. 1등 총 3명, 1인당 당첨금액 4,985,999,400원."
38,38,"동행복권 38회 당첨번호 16,17,22,30,37,43+36. 1등 총 3명, 1인당 당첨금액 5,374,866,400원."
39,39,"동행복권 39회 당첨번호 6,7,13,15,21,43+8. 1등 총 6명, 1인당 당첨금액 2,623,748,800원."
40,40,"동행복권 40회 당첨번호 7,13,18,19,25,26+6. 1등 총 13명, 1인당 당첨금액 1,147,652,400원."
41,41,"동행복권 41회 당첨번호 13,20,23,35,38,43+34. 1등 총 0명, 1인당 당첨금액 0원."
42,42,"동행복권 42회 당첨번호 17,18,19,21,23,32+1. 1등 총 6명, 1인당 당첨금액 6,899,280,100원."
43,43,"동행복권 43회 당첨번호 6,31,35,38,39,44+1. 1등 총 1명, 1인당 당첨금액 17,749,630,800원."
44,44,"동행복권 44회 당첨번호 3,11,21,30,38,45+39. 1등 총 5명, 1인당 당첨금액 3,362,155,800원."
45,45,"동행복권 45회 당첨번호 1,10,20,27,33,35+17. 1등 총 2명, 1인당 당첨금액 8,356,417,800원."
46,46,"동행복권 46회 당첨번호 8,13,15,23,31,38+39. 1등 총 3명, 1인당 당첨금액 5,327,758,800원."
47,47,"동행복권 47회 당첨번호 14,17,26,31,36,45+27. 1등 총 5명, 1인당 당첨금액 3,250,042,400원."
48,48,"동행복권 48회 당첨번호 6,10,18,26,37,38+3. 1등 총 6명, 1인당 당첨금액 2,415,673,600원."
49,49,"동행복권 49회 당첨번호 4,7,16,19,33,40+30. 1등 총 7명, 1인당 당첨금액 1,967,504,600원."
50,50,"동행복권 50회 당첨번호 2,10,12,15,22,44+1. 1등 총 3명, 1인당 당첨금액 5,227,061,400원."
51,51,"동행복권 51회 당첨번호 2,3,11,16,26,44+35. 1등 총 6명, 1인당 당첨금액 2,421,117,000원."
52,52,"동행복권 52회 당첨번호 2,4,15,16,20,29+1. 1등 총 4명, 1인당 당첨금액 3,900,844,900원."
53,53,"동행복권 53회 당첨번호 7,8,14,32,33,39+42. 1등 총 3명, 1인당 당첨금액 5,014,371,000원."
54,54,"동행복권 54회 당첨번호 1,8,21,27,36,39+37. 1등 총 3명, 1인당 당첨금액 5,148,626,600원."
55,55,"동행복권 55회 당첨번호 17,21,31,37,40,44+7. 1등 총 2명, 1인당 당첨금액 7,088,799,600원."
56,56,"동행복권 56회 당첨번호 10,14,30,31,33,37+19. 1등 총 4명, 1인당 당첨금액 3,777,570,900원."
57,57,"동행복권 57회 당첨번호 7,10,16,25,29,44+6. 1등 총 4명, 1인당 당첨금액 4,114,411,900원."
58,58,"동행복권 58회 당첨번호 10,24,25,33,40,44+1. 1등 총 4명, 1인당 당첨금액 3,676,429,200원."
59,59,"동행복권 59회 당첨번호 6,29,36,39,41,45+13. 1등 총 4명, 1인당 당첨금액 4,127,587,300원."
60,60,"동행복권 60회 당첨번호 2,8,25,36,39,42+11. 1등 총 7명, 1인당 당첨금액 2,172,504,600원."
61,61,"동행복권 61회 당첨번호 14,15,19,30,38,43+8. 1등 총 5명, 1인당 당첨금액 3,541,038,800원."
62,62,"동행복권 62회 당첨번호 3,8,15,27,29,35+21. 1등 총 1명, 1인당 당첨금액 15,817,286,400원."
63,63,"동행복권 63회 당첨번호 3,20,23,36,38,40+5. 1등 총 2명, 1인당 당첨금액 7,922,245,500원."
