,IFRS(연결),2015/12,2016/12,2017/12,2018/12,전년동기,전년동기(%)
0,매출액,2006535.0,2018667.0,2395754.0,2437714.0,2395754.0,1.8
1,매출원가,1234821.0,1202777.0,1292907.0,1323944.0,1292907.0,2.4
2,매출총이익,771714.0,815890.0,1102847.0,1113770.0,1102847.0,1.0
3,판매비와관리비계산에 참여한 계정 펼치기,507579.0,523484.0,566397.0,524903.0,566397.0,-7.3
4,영업이익,264134.0,292407.0,536450.0,588867.0,536450.0,9.8
5,금융수익계산에 참여한 계정 펼치기,105149.0,113856.0,97374.0,99993.0,97374.0,2.7
6,금융원가계산에 참여한 계정 펼치기,100318.0,107066.0,89789.0,86089.0,89789.0,-4.1
7,기타수익계산에 참여한 계정 펼치기,16859.0,32383.0,30107.0,14850.0,30107.0,-50.7
8,기타비용계산에 참여한 계정 펼치기,37234.0,24638.0,14196.0,11420.0,14196.0,-19.6
9,"종속기업,공동지배기업및관계기업관련손익계산에 참여한 계정 펼치기",11019.0,195.0,2014.0,5398.0,2014.0,168.0
10,세전계속사업이익,259610.0,307137.0,561960.0,611600.0,561960.0,8.8
11,법인세비용,69009.0,79876.0,140092.0,168151.0,140092.0,20.0
12,계속영업이익,190601.0,227261.0,421867.0,443449.0,421867.0,5.1
13,중단영업이익,,,,,,
14,당기순이익,190601.0,227261.0,421867.0,443449.0,421867.0,5.1
15,지배주주순이익,186946.0,224157.0,413446.0,438909.0,413446.0,6.2
16,비지배주주순이익,3655.0,3104.0,8422.0,4540.0,8422.0,-46.1
