,fecha_dato,ncodpers,ind_empleado,pais_residencia,sexo,age,fecha_alta,ind_nuevo,antiguedad,indrel,ult_fec_cli_1t,indrel_1mes,tiprel_1mes,indresi,indext,conyuemp,canal_entrada,indfall,tipodom,cod_prov,nomprov,ind_actividad_cliente,renta,segmento
0,2016-06-28,15889,F,ES,V,56,1995-01-16,0,256,1,,1.0,A,S,N,N,KAT,N,1,28.0,MADRID,1,  326124.90,01 - TOP
1,2016-06-28,1170544,N,ES,H,36,2013-08-28,0,34,1,,1.0,I,S,N,,KAT,N,1,3.0,ALICANTE,0,         NA,02 - PARTICULARES
2,2016-06-28,1170545,N,ES,V,22,2013-08-28,0,34,1,,1.0,A,S,N,,KHE,N,1,15.0,"CORUÑA, A",1,         NA,03 - UNIVERSITARIO
3,2016-06-28,1170547,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,8.0,BARCELONA,0,  148402.98,03 - UNIVERSITARIO
4,2016-06-28,1170548,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,7.0,"BALEARS, ILLES",0,  106885.80,03 - UNIVERSITARIO
5,2016-06-28,1170550,N,ES,V,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,8.0,BARCELONA,0,         NA,03 - UNIVERSITARIO
6,2016-06-28,1170552,N,ES,H,51,2013-08-28,0,34,1,,1.0,A,S,N,,KFC,N,1,35.0,"PALMAS, LAS",1,   96395.88,02 - PARTICULARES
7,2016-06-28,1170553,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,45.0,TOLEDO,0,         NA,03 - UNIVERSITARIO
8,2016-06-28,1170555,N,ES,V,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,28.0,MADRID,0,         NA,03 - UNIVERSITARIO
9,2016-06-28,1170557,N,ES,H,22,2013-08-28,0,34,1,,1.0,A,S,N,,KHE,N,1,15.0,"CORUÑA, A",1,   68322.72,03 - UNIVERSITARIO
10,2016-06-28,1170559,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,14.0,CORDOBA,0,   39327.87,03 - UNIVERSITARIO
11,2016-06-28,1170563,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,28.0,MADRID,0,         NA,03 - UNIVERSITARIO
12,2016-06-28,1170542,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,8.0,BARCELONA,0,  108397.08,03 - UNIVERSITARIO
13,2016-06-28,1170565,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,15.0,"CORUÑA, A",0,         NA,03 - UNIVERSITARIO
14,2016-06-28,1170568,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,30.0,MURCIA,0,  124086.75,03 - UNIVERSITARIO
15,2016-06-28,1170570,N,ES,H,22,2013-08-28,0,34,1,,1.0,A,S,N,,KHE,N,1,28.0,MADRID,1,  154306.95,03 - UNIVERSITARIO
16,2016-06-28,1170576,N,ES,V,22,2013-08-28,0,34,1,,1.0,A,S,N,,KHE,N,1,15.0,"CORUÑA, A",0,  109630.98,03 - UNIVERSITARIO
17,2016-06-28,1170578,N,ES,V,41,2013-08-28,0,34,1,,1.0,I,S,N,,KAT,N,1,8.0,BARCELONA,0,   76589.91,02 - PARTICULARES
18,2016-06-28,1170579,N,ES,H,36,2013-08-28,0,34,1,,1.0,A,S,N,,KFC,N,1,30.0,MURCIA,1,   86862.48,02 - PARTICULARES
19,2016-06-28,1170581,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,28.0,MADRID,0,   35746.41,03 - UNIVERSITARIO
20,2016-06-28,1170583,N,ES,H,22,2013-08-28,0,34,1,,1.0,A,S,N,,KHE,N,1,28.0,MADRID,1,   88322.19,03 - UNIVERSITARIO
21,2016-06-28,1170585,N,ES,V,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,16.0,CUENCA,0,         NA,03 - UNIVERSITARIO
22,2016-06-28,1170587,N,ES,H,33,2013-08-28,0,34,1,,1.0,A,S,N,,KFC,N,1,15.0,"CORUÑA, A",1,         NA,03 - UNIVERSITARIO
23,2016-06-28,1170588,N,ES,H,41,2013-08-28,0,34,1,,1.0,A,S,N,,KFC,N,1,29.0,MALAGA,1,   41400.81,02 - PARTICULARES
24,2016-06-28,1170589,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,3.0,ALICANTE,0,   47322.18,03 - UNIVERSITARIO
25,2016-06-28,1170567,N,ES,V,23,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,28.0,MADRID,0,   73972.50,03 - UNIVERSITARIO
26,2016-06-28,1170541,N,ES,V,43,2013-08-28,0,34,1,,1.0,A,S,N,,KFC,N,1,23.0,JAEN,1,  122837.70,02 - PARTICULARES
27,2016-06-28,1170539,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,8.0,BARCELONA,0,  406046.25,03 - UNIVERSITARIO
28,2016-06-28,1170538,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,8.0,BARCELONA,0,         NA,03 - UNIVERSITARIO
29,2016-06-28,1170493,N,ES,V,22,2013-08-28,0,34,1,,1.0,A,S,N,,KHE,N,1,11.0,CADIZ,1,   50311.53,03 - UNIVERSITARIO
30,2016-06-28,1170495,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,41.0,SEVILLA,0,   40821.57,03 - UNIVERSITARIO
31,2016-06-28,1170497,N,ES,V,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,8.0,BARCELONA,0,  134534.01,03 - UNIVERSITARIO
32,2016-06-28,1170499,N,ES,H,63,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,8.0,BARCELONA,0,   52856.04,02 - PARTICULARES
33,2016-06-28,1170500,N,ES,H,62,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,8.0,BARCELONA,0,         NA,02 - PARTICULARES
34,2016-06-28,1170501,N,ES,V,32,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,8.0,BARCELONA,0,         NA,03 - UNIVERSITARIO
35,2016-06-28,1170502,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,46.0,VALENCIA,0,  111404.91,03 - UNIVERSITARIO
36,2016-06-28,1170504,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,41.0,SEVILLA,0,   99694.74,03 - UNIVERSITARIO
37,2016-06-28,1170506,N,ES,H,22,2013-08-28,0,34,1,,1.0,A,S,N,,KHE,N,1,41.0,SEVILLA,1,  154279.35,03 - UNIVERSITARIO
38,2016-06-28,1170507,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,12.0,CASTELLON,0,  105280.11,03 - UNIVERSITARIO
39,2016-06-28,1170509,N,ES,V,58,2013-08-28,0,34,1,,1.0,A,S,N,,KHE,N,1,8.0,BARCELONA,1,         NA,02 - PARTICULARES
40,2016-06-28,1170510,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,6.0,BADAJOZ,0,   45388.41,03 - UNIVERSITARIO
41,2016-06-28,1170512,N,ES,H,23,2013-08-28,0,34,1,,1.0,A,S,N,,KHE,N,1,32.0,OURENSE,1,         NA,03 - UNIVERSITARIO
42,2016-06-28,1170513,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,11.0,CADIZ,0,   80622.15,03 - UNIVERSITARIO
43,2016-06-28,1170515,N,ES,V,22,2013-08-28,0,34,1,,1.0,A,S,N,,KHE,N,1,32.0,OURENSE,1,   69815.25,03 - UNIVERSITARIO
44,2016-06-28,1170516,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,17.0,GIRONA,1,         NA,03 - UNIVERSITARIO
45,2016-06-28,1170518,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,41.0,SEVILLA,0,   54941.43,03 - UNIVERSITARIO
46,2016-06-28,1170520,N,ES,V,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,17.0,GIRONA,0,   78452.55,03 - UNIVERSITARIO
47,2016-06-28,1170522,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,41.0,SEVILLA,0,         NA,03 - UNIVERSITARIO
48,2016-06-28,1170524,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,8.0,BARCELONA,0,  171994.83,03 - UNIVERSITARIO
49,2016-06-28,1170526,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,8.0,BARCELONA,0,  159616.71,03 - UNIVERSITARIO
50,2016-06-28,1170528,N,ES,H,22,2013-08-28,0,34,1,,1.0,A,S,N,,KHE,N,1,8.0,BARCELONA,1,  146750.10,03 - UNIVERSITARIO
51,2016-06-28,1170533,N,ES,V,71,2013-08-28,0,34,1,,1.0,I,S,N,,KFC,N,1,18.0,GRANADA,0,         NA,02 - PARTICULARES
52,2016-06-28,1170535,N,ES,H,22,2013-08-28,0,34,1,,1.0,I,S,N,,KHE,N,1,15.0,"CORUÑA, A",0,         NA,03 - UNIVERSITARIO
53,2016-06-28,1170537,N,ES,V,31,2013-08-28,0,34,1,,1.0,A,S,N,,KAT,N,1,3.0,ALICANTE,1,         NA,02 - PARTICULARES
54,2016-06-28,1170591,N,ES,H,30,2013-08-28,0,34,1,,1.0,A,S,N,,KFC,N,1,46.0,VALENCIA,1,   68239.14,03 - UNIVERSITARIO
